,cg1,cg2,cg3,cg4,cg5,cl1,cl2,cl3,cw1,cw2,cw3,sg2,sg3,sg4,sg5,sg6,sl1,sl2,sl3,sw1,sw2,sw3
WBGene00077610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
WBGene00077611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
WBGene00077612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077613,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
WBGene00077614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077615,1,2,0,0,2,0,1,0,0,2,0,0,57,0,0,0,11,0,0,0,16,0
WBGene00077616,1,1,0,1,0,2,1,3,1,1,0,0,26,114,0,0,15,114,2,11,0,447
WBGene00077617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
WBGene00077618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077622,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0
WBGene00077624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
WBGene00077626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
WBGene00077627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00077629,7,7,2,0,2,3,2,4,4,0,0,2,0,0,0,19,0,3,0,0,0,0
WBGene00077630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
